source,extraction_date,keyword_source,keyword_group,search_rank,video_id,url,title,channel,view_count,upload_date,views_per_day,duration_seconds,song_type,single_track_candidate,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,mood_inferred,classification_note,matched_keywords,youtube_search_view_rank
YouTube search via yt-dlp,2026-06-14,lietuviškas pop,Lithuanian pop,6,N2KGQv0hX7o,https://www.youtube.com/watch?v=N2KGQv0hX7o,Monika Linkytė - Po dangum,Monika Linkytė Official,28155569,,,232,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas pop,1
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,8,VqSu8iG1_DE,https://www.youtube.com/watch?v=VqSu8iG1_DE,"Jovani, Karališka Erdvė - Iš Lėto Leidžiasi Saulė (feat. Remis Retro)",Jovani,21710128,,,172,song video / unknown format,yes,Lithuanian signal,Lithuania / local signal,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos,2
YouTube search via yt-dlp,2026-06-14,lietuviška muzika,Lithuanian music broad,7,gZsz3AGj5i4,https://www.youtube.com/watch?v=gZsz3AGj5i4,Laužai,Sauben,10163922,,,158,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviška muzika,3
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,1,V4veBuE_QA0,https://www.youtube.com/watch?v=V4veBuE_QA0,Šventinis bankuchenas - Lietuvos istorijos repas,Šventinis bankuchenas,9328051,,,345,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,4
YouTube search via yt-dlp,2026-06-14,lietuviškas pop,Lithuanian pop,7,gEUSynnnElE,https://www.youtube.com/watch?v=gEUSynnnElE,"Rokas Yan, Monika Liu, Vaidas Baumila - Gegužis",Rokas Yan,9038857,,,155,song video / unknown format,yes,Lithuanian signal,Lithuania / local signal,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas pop,5
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,8,d60GM-jfbLk,https://www.youtube.com/watch?v=d60GM-jfbLk,Domas - Gatvės,Erikas Mališauskas,4167947,,,205,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,6
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,6,AblOunotia4,https://www.youtube.com/watch?v=AblOunotia4,"Lietuviška Muzika Veža ""Čilinam""",Stanislavas Stavickis (Stano),3590941,,,220,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos; lietuviška muzika; lietuviškas pop; lietuviška šokių muzika,7
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,6,rJCju9laIAw,https://www.youtube.com/watch?v=rJCju9laIAw,Ade feat. mtw - Rodyklės Kertasi Ant 0,Ad34real,2824239,,,204,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,8
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,1,vo4f3ylWCdc,https://www.youtube.com/watch?v=vo4f3ylWCdc,Hypocrite - Meilės Kvailys,Hypocrite,1985796,,,153,song video / unknown format,yes,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,9
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,7,HgVSHwmiqqo,https://www.youtube.com/watch?v=HgVSHwmiqqo,Mergužėlė - Tenai | Lietuviška Muzika,Mergužėlė,1740328,,,247,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian pop / mixed,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos; lietuviška muzika,11
